2014-08-14 07:16:18 , Main Called
2014-08-14 07:16:19 , Initialize
2014-08-14 07:16:19 , Ready
2014-08-14 07:16:39 , Start transaction
2014-08-14 07:16:40 / toBTC / https://blockchain.info/tobtc / {'currency': 'USD', 'value': '0.3'} / 0.0005679
2014-08-14 07:16:42 / getNewAddress / https://blockchain.info/merchant/403ee6d9-a5dc-4346-af64-abb1bf61949f/new_address / {'password': u'789852rs12', 'label': None} / {"address":"1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT"}
2014-08-14 07:16:42 , Wait for payment
2014-08-14 07:16:43 / getBalance / https://blockchain.info/q/addressbalance/1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 0
2014-08-14 07:16:47 / getBalance / https://blockchain.info/q/addressbalance/1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 0
2014-08-14 07:16:51 / getBalance / https://blockchain.info/q/addressbalance/1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 0
2014-08-14 07:16:55 / getBalance / https://blockchain.info/q/addressbalance/1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 1A9xE3ZjeoK9kyrjhFzqQZxiiqz5qeHbwT / 56790
2014-08-14 07:16:59 , transaction ended
2014-08-14 07:21:43 , Main Called
2014-08-14 07:21:43 , Initialize
2014-08-14 07:21:44 , Ready
2014-08-14 07:22:02 , Start transaction
2014-08-14 07:22:03 / toBTC / https://blockchain.info/tobtc / {'currency': 'USD', 'value': '0.2'} / 0.00037857
2014-08-14 07:22:05 / getNewAddress / https://blockchain.info/merchant/403ee6d9-a5dc-4346-af64-abb1bf61949f/new_address / {'password': u'789852rs12', 'label': None} / {"address":"1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95"}
2014-08-14 07:22:05 , Wait for payment
2014-08-14 07:22:11 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:15 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:19 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:28 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:32 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:36 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:39 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:44 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:48 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
2014-08-14 07:22:52 / getBalance / https://blockchain.info/q/addressbalance/1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 1A1BE7aY6nE3PNPegBRhyErQrVuqw2UY95 / 0
